,precursor,pyrolysis T (K),activator_name,activator_ratio,BET (m2/g),T ads (K),P ads (bar),CO2 ads (mmol/g),pore volume (cm3/g),C (%),N (%),H (%),S (%),O (%),ash (%),VM (%),FC (%),H/O (molar),O/C (molar),H/C (molar),(O+N)/C (molar),strat
150,vine shoots,873,KOH-1,1.0,704.0,273,0.15,2.16,0.291,47.1,0.66,5.29,0.56,45.4,0.99,68.1,30.91,1.86,0.72,1.35,0.73,False
151,vine shoots,973,KOH-1,1.0,1101.0,273,0.15,2.42,0.541,47.1,0.66,5.29,0.56,45.4,0.99,68.1,30.91,1.86,0.72,1.35,0.73,False
152,vine shoots,873,KOH-2,2.0,1305.0,273,0.15,2.25,0.534,47.1,0.66,5.29,0.56,45.4,0.99,68.1,30.91,1.86,0.72,1.35,0.73,False
153,vine shoots,973,KOH-2,2.0,1671.0,273,0.15,2.25,0.67,47.1,0.66,5.29,0.56,45.4,0.99,68.1,30.91,1.86,0.72,1.35,0.73,False
154,vine shoots,873,KOH-1,1.0,704.0,273,1.0,4.16,0.291,47.1,0.66,5.29,0.56,45.4,0.99,68.1,30.91,1.86,0.72,1.35,0.73,True
155,vine shoots,973,KOH-1,1.0,1101.0,273,1.0,5.36,0.541,47.1,0.66,5.29,0.56,45.4,0.99,68.1,30.91,1.86,0.72,1.35,0.73,True
156,vine shoots,873,KOH-2,2.0,1305.0,273,1.0,6.04,0.534,47.1,0.66,5.29,0.56,45.4,0.99,68.1,30.91,1.86,0.72,1.35,0.73,True
157,vine shoots,973,KOH-2,2.0,1671.0,273,1.0,5.4,0.67,47.1,0.66,5.29,0.56,45.4,0.99,68.1,30.91,1.86,0.72,1.35,0.73,True
158,walnut shells,723,NaNH2-1.5,1.5,589.0,273,1.0,4.17,0.34,53.5,1.5,6.6,0.1,35.5,2.8,59.3,37.9,2.97,0.5,1.48,0.52,True
159,walnut shells,773,NaNH2-1.5,1.5,802.0,273,1.0,3.88,0.47,53.5,1.5,6.6,0.1,35.5,2.8,59.3,37.9,2.97,0.5,1.48,0.52,True
160,walnut shells,723,NaNH2-2.5,2.5,1687.0,273,1.0,5.22,0.94,53.5,1.5,6.6,0.1,35.5,2.8,59.3,37.9,2.97,0.5,1.48,0.52,True
161,walnut shells,773,NaNH2-2.5,2.5,1721.0,273,1.0,3.17,0.92,53.5,1.5,6.6,0.1,35.5,2.8,59.3,37.9,2.97,0.5,1.48,0.52,True
162,walnut shells,723,NaNH2-1.5,1.5,589.0,298,1.0,2.53,0.34,53.5,1.5,6.6,0.1,35.5,2.8,59.3,37.9,2.97,0.5,1.48,0.52,True
163,walnut shells,773,NaNH2-1.5,1.5,802.0,298,1.0,1.96,0.47,53.5,1.5,6.6,0.1,35.5,2.8,59.3,37.9,2.97,0.5,1.48,0.52,False
164,walnut shells,723,NaNH2-2.5,2.5,1687.0,298,1.0,3.06,0.94,53.5,1.5,6.6,0.1,35.5,2.8,59.3,37.9,2.97,0.5,1.48,0.52,True
165,walnut shells,773,NaNH2-2.5,2.5,1721.0,298,1.0,2.15,0.92,53.5,1.5,6.6,0.1,35.5,2.8,59.3,37.9,2.97,0.5,1.48,0.52,False
166,walnut shells,723,NaNH2-1.5,1.5,589.0,273,0.2,1.9,0.34,53.5,1.5,6.6,0.1,35.5,2.8,59.3,37.9,2.97,0.5,1.48,0.52,False
167,walnut shells,723,NaNH2-2.5,2.5,1687.0,273,0.2,1.75,0.94,53.5,1.5,6.6,0.1,35.5,2.8,59.3,37.9,2.97,0.5,1.48,0.52,False
168,walnut shells,723,NaNH2-1.5,1.5,589.0,298,0.2,1.4,0.34,53.5,1.5,6.6,0.1,35.5,2.8,59.3,37.9,2.97,0.5,1.48,0.52,False
169,walnut shells,723,NaNH2-2.5,2.5,1687.0,298,0.2,0.7,0.94,53.5,1.5,6.6,0.1,35.5,2.8,59.3,37.9,2.97,0.5,1.48,0.52,False
170,walnut shells,1273,KCl-ZnCl2-2,2.0,1389.0,273,1.0,8.0,0.68,53.5,1.5,6.6,0.1,35.5,2.8,59.3,37.9,2.97,0.5,1.48,0.52,True
171,walnut shells,1273,KCl-ZnCl2-3,3.0,2025.0,298,1.0,5.5,1.15,53.5,1.5,6.6,0.1,35.5,2.8,59.3,37.9,2.97,0.5,1.48,0.52,True
172,poplar wood sawdust,873,KOH-2,2.0,893.0,273,1.0,3.66,0.38,42.77,0.73,6.12,0.08,48.38,1.92,84.59,13.49,2.02,0.85,1.72,0.86,True
173,poplar wood sawdust,973,KOH-2,2.0,1339.0,273,1.0,2.83,0.68,42.77,0.73,6.12,0.08,48.38,1.92,84.59,13.49,2.02,0.85,1.72,0.86,True
174,poplar wood sawdust,1073,KOH-2,2.0,1587.0,273,1.0,3.45,1.0,42.77,0.73,6.12,0.08,48.38,1.92,84.59,13.49,2.02,0.85,1.72,0.86,True
175,poplar wood sawdust,1073,KOH-1,1.0,2153.0,273,1.0,4.93,1.13,42.77,0.73,6.12,0.08,48.38,1.92,84.59,13.49,2.02,0.85,1.72,0.86,True
176,poplar wood sawdust,873,KOH-2,2.0,893.0,273,0.15,1.24,0.38,42.77,0.73,6.12,0.08,48.38,1.92,84.59,13.49,2.02,0.85,1.72,0.86,False
177,poplar wood sawdust,973,KOH-2,2.0,1339.0,273,0.15,0.86,0.68,42.77,0.73,6.12,0.08,48.38,1.92,84.59,13.49,2.02,0.85,1.72,0.86,False
178,poplar wood sawdust,1073,KOH-2,2.0,1587.0,273,0.15,0.84,1.0,42.77,0.73,6.12,0.08,48.38,1.92,84.59,13.49,2.02,0.85,1.72,0.86,False
179,poplar wood sawdust,1073,KOH-1,1.0,2153.0,273,0.15,1.34,1.13,42.77,0.73,6.12,0.08,48.38,1.92,84.59,13.49,2.02,0.85,1.72,0.86,False
180,poplar wood sawdust,873,KOH-2,2.0,893.0,298,1.0,2.28,0.38,42.77,0.73,6.12,0.08,48.38,1.92,84.59,13.49,2.02,0.85,1.72,0.86,False
181,poplar wood sawdust,973,KOH-2,2.0,1339.0,298,1.0,1.77,0.68,42.77,0.73,6.12,0.08,48.38,1.92,84.59,13.49,2.02,0.85,1.72,0.86,False
182,poplar wood sawdust,1073,KOH-2,2.0,1587.0,298,1.0,2.06,1.0,42.77,0.73,6.12,0.08,48.38,1.92,84.59,13.49,2.02,0.85,1.72,0.86,False
183,poplar wood sawdust,1073,KOH-1,1.0,2153.0,298,1.0,2.86,1.13,42.77,0.73,6.12,0.08,48.38,1.92,84.59,13.49,2.02,0.85,1.72,0.86,True
184,chrysanthemum tea,1273,ZnCl2-1,1.0,1840.0,298,1.0,3.8,1.16,48.0,0.5,5.5,0.06,44.44,1.5,85.5,13.0,1.98,0.69,1.38,0.7,True
185,chrysanthemum tea,1273,ZnCl2-1,1.0,1840.0,298,0.8,3.0,1.16,48.0,0.5,5.5,0.06,44.44,1.5,85.5,13.0,1.98,0.69,1.38,0.7,True
186,chrysanthemum tea,1273,ZnCl2-1,1.0,1840.0,298,0.6,2.3,1.16,48.0,0.5,5.5,0.06,44.44,1.5,85.5,13.0,1.98,0.69,1.38,0.7,False
187,chrysanthemum tea,1273,ZnCl2-1,1.0,1840.0,298,0.4,1.25,1.16,48.0,0.5,5.5,0.06,44.44,1.5,85.5,13.0,1.98,0.69,1.38,0.7,False
188,chrysanthemum tea,1273,ZnCl2-1,1.0,1840.0,298,0.2,0.7,1.16,48.0,0.5,5.5,0.06,44.44,1.5,85.5,13.0,1.98,0.69,1.38,0.7,False
189,cork,773,KOH-3,3.0,1491.0,273,1.0,6.5,0.621,58.55,1.32,7.23,0.0,28.58,4.33,76.8,18.88,4.05,0.37,1.48,0.39,True
190,cork,873,KOH-3,3.0,1885.0,273,1.0,7.14,0.781,58.55,1.32,7.23,0.0,28.58,4.33,76.8,18.88,4.05,0.37,1.48,0.39,True
191,cork,973,KOH-3,3.0,2010.0,273,1.0,7.82,0.82,58.55,1.32,7.23,0.0,28.58,4.33,76.8,18.88,4.05,0.37,1.48,0.39,True
192,cork,1073,KOH-3,3.0,1909.0,273,1.0,6.07,0.915,58.55,1.32,7.23,0.0,28.58,4.33,76.8,18.88,4.05,0.37,1.48,0.39,True
193,cork,973,KOH-1,1.0,984.0,273,1.0,5.28,0.428,58.55,1.32,7.23,0.0,28.58,4.33,76.8,18.88,4.05,0.37,1.48,0.39,True
194,cork,973,KOH-2,2.0,1605.0,273,1.0,6.94,0.656,58.55,1.32,7.23,0.0,28.58,4.33,76.8,18.88,4.05,0.37,1.48,0.39,True
195,cork,973,KOH-4,4.0,1949.0,273,1.0,7.66,0.836,58.55,1.32,7.23,0.0,28.58,4.33,76.8,18.88,4.05,0.37,1.48,0.39,True
196,cork,973,KOH-5,5.0,2380.0,273,1.0,5.8,1.136,58.55,1.32,7.23,0.0,28.58,4.33,76.8,18.88,4.05,0.37,1.48,0.39,True
197,cork,973,KOH-6,6.0,2379.0,273,1.0,5.59,1.29,58.55,1.32,7.23,0.0,28.58,4.33,76.8,18.88,4.05,0.37,1.48,0.39,True
198,cork,773,KOH-3,3.0,1491.0,298,1.0,3.57,0.621,58.55,1.32,7.23,0.0,28.58,4.33,76.8,18.88,4.05,0.37,1.48,0.39,True
199,cork,873,KOH-3,3.0,1885.0,298,1.0,3.84,0.781,58.55,1.32,7.23,0.0,28.58,4.33,76.8,18.88,4.05,0.37,1.48,0.39,True
200,cork,973,KOH-3,3.0,2010.0,298,1.0,4.27,0.82,58.55,1.32,7.23,0.0,28.58,4.33,76.8,18.88,4.05,0.37,1.48,0.39,True
201,cork,1073,KOH-3,3.0,1909.0,298,1.0,3.42,0.915,58.55,1.32,7.23,0.0,28.58,4.33,76.8,18.88,4.05,0.37,1.48,0.39,True
202,cork,973,KOH-1,1.0,984.0,298,1.0,3.46,0.428,58.55,1.32,7.23,0.0,28.58,4.33,76.8,18.88,4.05,0.37,1.48,0.39,True
203,cork,973,KOH-2,2.0,1605.0,298,1.0,3.91,0.656,58.55,1.32,7.23,0.0,28.58,4.33,76.8,18.88,4.05,0.37,1.48,0.39,True
204,cork,973,KOH-4,4.0,1949.0,298,1.0,3.88,0.836,58.55,1.32,7.23,0.0,28.58,4.33,76.8,18.88,4.05,0.37,1.48,0.39,True
205,cork,973,KOH-5,5.0,2380.0,298,1.0,3.04,1.136,58.55,1.32,7.23,0.0,28.58,4.33,76.8,18.88,4.05,0.37,1.48,0.39,True
206,cork,973,KOH-6,6.0,2379.0,298,1.0,2.66,1.29,58.55,1.32,7.23,0.0,28.58,4.33,76.8,18.88,4.05,0.37,1.48,0.39,True
207,cork,973,KOH-3,3.0,2010.0,273,0.8,6.8,0.82,58.55,1.32,7.23,0.0,28.58,4.33,76.8,18.88,4.05,0.37,1.48,0.39,True
208,cork,973,KOH-3,3.0,2010.0,273,0.6,5.8,0.82,58.55,1.32,7.23,0.0,28.58,4.33,76.8,18.88,4.05,0.37,1.48,0.39,True
209,cork,973,KOH-3,3.0,2010.0,273,0.4,4.4,0.82,58.55,1.32,7.23,0.0,28.58,4.33,76.8,18.88,4.05,0.37,1.48,0.39,True
210,cork,973,KOH-3,3.0,2010.0,273,0.2,2.6,0.82,58.55,1.32,7.23,0.0,28.58,4.33,76.8,18.88,4.05,0.37,1.48,0.39,True
211,cork,973,KOH-3,3.0,2010.0,298,0.8,3.5,0.82,58.55,1.32,7.23,0.0,28.58,4.33,76.8,18.88,4.05,0.37,1.48,0.39,True
212,cork,973,KOH-3,3.0,2010.0,298,0.6,2.9,0.82,58.55,1.32,7.23,0.0,28.58,4.33,76.8,18.88,4.05,0.37,1.48,0.39,True
213,cork,973,KOH-3,3.0,2010.0,298,0.4,2.2,0.82,58.55,1.32,7.23,0.0,28.58,4.33,76.8,18.88,4.05,0.37,1.48,0.39,False
214,cork,973,KOH-3,3.0,2010.0,298,0.2,1.2,0.82,58.55,1.32,7.23,0.0,28.58,4.33,76.8,18.88,4.05,0.37,1.48,0.39,False
215,spent coffee grounds,873,K2CO3-1,1.0,750.0,273,0.15,2.48,0.3,54.78,3.32,6.93,0.04,33.63,1.3,82.9,15.8,3.3,0.46,1.52,0.51,False
216,spent coffee grounds,973,K2CO3-1,1.0,1476.0,273,0.15,2.47,0.61,54.78,3.32,6.93,0.04,33.63,1.3,82.9,15.8,3.3,0.46,1.52,0.51,False
217,spent coffee grounds,1073,K2CO3-1,1.0,1692.0,273,0.15,1.74,1.15,54.78,3.32,6.93,0.04,33.63,1.3,82.9,15.8,3.3,0.46,1.52,0.51,False
218,spent coffee grounds,873,K2CO3-1,1.0,750.0,273,1.0,4.88,0.3,54.78,3.32,6.93,0.04,33.63,1.3,82.9,15.8,3.3,0.46,1.52,0.51,True
219,spent coffee grounds,973,K2CO3-1,1.0,1476.0,273,1.0,7.02,0.61,54.78,3.32,6.93,0.04,33.63,1.3,82.9,15.8,3.3,0.46,1.52,0.51,True
220,spent coffee grounds,1073,K2CO3-1,1.0,1692.0,273,1.0,6.38,1.15,54.78,3.32,6.93,0.04,33.63,1.3,82.9,15.8,3.3,0.46,1.52,0.51,True
221,spent coffee grounds,873,K2CO3-1,1.0,750.0,298,0.15,1.46,0.3,54.78,3.32,6.93,0.04,33.63,1.3,82.9,15.8,3.3,0.46,1.52,0.51,False
222,spent coffee grounds,973,K2CO3-1,1.0,1476.0,298,0.15,1.3,0.61,54.78,3.32,6.93,0.04,33.63,1.3,82.9,15.8,3.3,0.46,1.52,0.51,False
223,spent coffee grounds,1073,K2CO3-1,1.0,1692.0,298,0.15,0.92,1.15,54.78,3.32,6.93,0.04,33.63,1.3,82.9,15.8,3.3,0.46,1.52,0.51,False
224,spent coffee grounds,873,K2CO3-1,1.0,750.0,298,1.0,3.65,0.3,54.78,3.32,6.93,0.04,33.63,1.3,82.9,15.8,3.3,0.46,1.52,0.51,True
225,spent coffee grounds,973,K2CO3-1,1.0,1476.0,298,1.0,4.54,0.61,54.78,3.32,6.93,0.04,33.63,1.3,82.9,15.8,3.3,0.46,1.52,0.51,True
226,spent coffee grounds,1073,K2CO3-1,1.0,1692.0,298,1.0,3.78,1.15,54.78,3.32,6.93,0.04,33.63,1.3,82.9,15.8,3.3,0.46,1.52,0.51,True
227,spent coffee grounds,873,K2CO3-1,1.0,750.0,323,0.15,0.78,0.3,54.78,3.32,6.93,0.04,33.63,1.3,82.9,15.8,3.3,0.46,1.52,0.51,False
228,spent coffee grounds,973,K2CO3-1,1.0,1476.0,323,0.15,0.67,0.61,54.78,3.32,6.93,0.04,33.63,1.3,82.9,15.8,3.3,0.46,1.52,0.51,False
229,spent coffee grounds,1073,K2CO3-1,1.0,1692.0,323,0.15,0.47,1.15,54.78,3.32,6.93,0.04,33.63,1.3,82.9,15.8,3.3,0.46,1.52,0.51,False
230,spent coffee grounds,873,K2CO3-1,1.0,750.0,323,1.0,2.34,0.3,54.78,3.32,6.93,0.04,33.63,1.3,82.9,15.8,3.3,0.46,1.52,0.51,False
231,spent coffee grounds,973,K2CO3-1,1.0,1476.0,323,1.0,2.68,0.61,54.78,3.32,6.93,0.04,33.63,1.3,82.9,15.8,3.3,0.46,1.52,0.51,True
232,spent coffee grounds,1073,K2CO3-1,1.0,1692.0,323,1.0,2.1,1.15,54.78,3.32,6.93,0.04,33.63,1.3,82.9,15.8,3.3,0.46,1.52,0.51,False
233,garlic peel,873,KOH-2,2.0,947.0,273,1.0,6.25,0.51,37.01,1.04,4.22,0.81,46.58,10.34,68.54,21.12,1.45,0.94,1.37,0.97,True
234,garlic peel,973,KOH-2,2.0,1179.0,273,1.0,5.96,0.63,37.01,1.04,4.22,0.81,46.58,10.34,68.54,21.12,1.45,0.94,1.37,0.97,True
235,garlic peel,1073,KOH-2,2.0,1262.0,273,1.0,4.33,0.7,37.01,1.04,4.22,0.81,46.58,10.34,68.54,21.12,1.45,0.94,1.37,0.97,True
236,garlic peel,873,KOH-4,4.0,1116.0,273,1.0,4.6,0.63,37.01,1.04,4.22,0.81,46.58,10.34,68.54,21.12,1.45,0.94,1.37,0.97,True
237,garlic peel,873,KOH-2,2.0,947.0,298,1.0,4.22,0.51,37.01,1.04,4.22,0.81,46.58,10.34,68.54,21.12,1.45,0.94,1.37,0.97,True
238,garlic peel,973,KOH-2,2.0,1179.0,298,1.0,3.99,0.63,37.01,1.04,4.22,0.81,46.58,10.34,68.54,21.12,1.45,0.94,1.37,0.97,True
239,garlic peel,1073,KOH-2,2.0,1262.0,298,1.0,2.82,0.7,37.01,1.04,4.22,0.81,46.58,10.34,68.54,21.12,1.45,0.94,1.37,0.97,True
240,garlic peel,873,KOH-4,4.0,1116.0,298,1.0,2.84,0.63,37.01,1.04,4.22,0.81,46.58,10.34,68.54,21.12,1.45,0.94,1.37,0.97,True
241,garlic peel,873,KOH-2,2.0,947.0,273,0.2,2.7,0.51,37.01,1.04,4.22,0.81,46.58,10.34,68.54,21.12,1.45,0.94,1.37,0.97,True
242,garlic peel,973,KOH-2,2.0,1179.0,273,0.2,2.2,0.63,37.01,1.04,4.22,0.81,46.58,10.34,68.54,21.12,1.45,0.94,1.37,0.97,False
243,garlic peel,1073,KOH-2,2.0,1262.0,273,0.2,1.5,0.7,37.01,1.04,4.22,0.81,46.58,10.34,68.54,21.12,1.45,0.94,1.37,0.97,False
244,garlic peel,873,KOH-4,4.0,1116.0,273,0.2,1.6,0.63,37.01,1.04,4.22,0.81,46.58,10.34,68.54,21.12,1.45,0.94,1.37,0.97,False
245,garlic peel,873,KOH-2,2.0,947.0,298,0.2,1.7,0.51,37.01,1.04,4.22,0.81,46.58,10.34,68.54,21.12,1.45,0.94,1.37,0.97,False
246,garlic peel,973,KOH-2,2.0,1179.0,298,0.2,1.4,0.63,37.01,1.04,4.22,0.81,46.58,10.34,68.54,21.12,1.45,0.94,1.37,0.97,False
247,garlic peel,1073,KOH-2,2.0,1262.0,298,0.2,0.9,0.7,37.01,1.04,4.22,0.81,46.58,10.34,68.54,21.12,1.45,0.94,1.37,0.97,False
248,garlic peel,873,KOH-4,4.0,1116.0,298,0.2,1.0,0.63,37.01,1.04,4.22,0.81,46.58,10.34,68.54,21.12,1.45,0.94,1.37,0.97,False
249,pineapple,773,K2C2O4-2,2.0,422.8,273,1.0,2.71,0.82,47.39,1.08,6.13,0.0,40.31,5.09,73.97,20.94,2.43,0.64,1.55,0.66,True
250,pineapple,873,Li2C2O4-2,2.0,302.7,273,1.0,2.09,0.49,47.39,1.08,6.13,0.0,40.31,5.09,73.97,20.94,2.43,0.64,1.55,0.66,False
251,pineapple,873,K2C2O4-2,2.0,644.9,273,1.0,3.82,0.91,47.39,1.08,6.13,0.0,40.31,5.09,73.97,20.94,2.43,0.64,1.55,0.66,True
252,pineapple,973,Na2C2O4-2,2.0,397.3,273,1.0,2.2,0.26,47.39,1.08,6.13,0.0,40.31,5.09,73.97,20.94,2.43,0.64,1.55,0.66,False
253,pineapple,973,K2C2O4-2,2.0,1076.3,273,1.0,5.32,0.92,47.39,1.08,6.13,0.0,40.31,5.09,73.97,20.94,2.43,0.64,1.55,0.66,True
254,pineapple,773,K2C2O4-2,2.0,422.8,293,1.0,2.22,0.82,47.39,1.08,6.13,0.0,40.31,5.09,73.97,20.94,2.43,0.64,1.55,0.66,False
255,pineapple,873,Li2C2O4-2,2.0,302.7,293,1.0,1.59,0.49,47.39,1.08,6.13,0.0,40.31,5.09,73.97,20.94,2.43,0.64,1.55,0.66,False
256,pineapple,873,K2C2O4-2,2.0,644.9,293,1.0,3.16,0.91,47.39,1.08,6.13,0.0,40.31,5.09,73.97,20.94,2.43,0.64,1.55,0.66,True
257,pineapple,973,Na2C2O4-2,2.0,397.3,293,1.0,1.59,0.26,47.39,1.08,6.13,0.0,40.31,5.09,73.97,20.94,2.43,0.64,1.55,0.66,False
258,pineapple,973,K2C2O4-2,2.0,1076.3,293,1.0,4.25,0.92,47.39,1.08,6.13,0.0,40.31,5.09,73.97,20.94,2.43,0.64,1.55,0.66,True
259,pineapple,773,K2C2O4-2,2.0,422.8,273,0.2,1.6,0.82,47.39,1.08,6.13,0.0,40.31,5.09,73.97,20.94,2.43,0.64,1.55,0.66,False
260,pineapple,873,Li2C2O4-2,2.0,302.7,273,0.2,1.2,0.49,47.39,1.08,6.13,0.0,40.31,5.09,73.97,20.94,2.43,0.64,1.55,0.66,False
261,pineapple,873,K2C2O4-2,2.0,644.9,273,0.2,1.8,0.91,47.39,1.08,6.13,0.0,40.31,5.09,73.97,20.94,2.43,0.64,1.55,0.66,False
262,pineapple,973,Na2C2O4-2,2.0,397.3,273,0.2,1.1,0.26,47.39,1.08,6.13,0.0,40.31,5.09,73.97,20.94,2.43,0.64,1.55,0.66,False
263,pineapple,973,K2C2O4-2,2.0,1076.3,273,0.2,2.6,0.92,47.39,1.08,6.13,0.0,40.31,5.09,73.97,20.94,2.43,0.64,1.55,0.66,True
264,pineapple,773,K2C2O4-2,2.0,422.8,293,0.2,1.1,0.82,47.39,1.08,6.13,0.0,40.31,5.09,73.97,20.94,2.43,0.64,1.55,0.66,False
265,pineapple,873,Li2C2O4-2,2.0,302.7,293,0.2,0.8,0.49,47.39,1.08,6.13,0.0,40.31,5.09,73.97,20.94,2.43,0.64,1.55,0.66,False
266,pineapple,873,K2C2O4-2,2.0,644.9,293,0.2,1.4,0.91,47.39,1.08,6.13,0.0,40.31,5.09,73.97,20.94,2.43,0.64,1.55,0.66,False
267,pineapple,973,Na2C2O4-2,2.0,397.3,293,0.2,0.7,0.26,47.39,1.08,6.13,0.0,40.31,5.09,73.97,20.94,2.43,0.64,1.55,0.66,False
268,pineapple,973,K2C2O4-2,2.0,1076.3,293,0.2,1.5,0.92,47.39,1.08,6.13,0.0,40.31,5.09,73.97,20.94,2.43,0.64,1.55,0.66,False
269,pineapple,773,K2C2O4-2,2.0,422.8,273,0.6,1.6,0.82,47.39,1.08,6.13,0.0,40.31,5.09,73.97,20.94,2.43,0.64,1.55,0.66,False
270,pineapple,873,Li2C2O4-2,2.0,302.7,273,0.6,1.1,0.49,47.39,1.08,6.13,0.0,40.31,5.09,73.97,20.94,2.43,0.64,1.55,0.66,False
271,pineapple,873,K2C2O4-2,2.0,644.9,273,0.6,1.8,0.91,47.39,1.08,6.13,0.0,40.31,5.09,73.97,20.94,2.43,0.64,1.55,0.66,False
272,pineapple,973,Na2C2O4-2,2.0,397.3,273,0.6,1.1,0.26,47.39,1.08,6.13,0.0,40.31,5.09,73.97,20.94,2.43,0.64,1.55,0.66,False
273,pineapple,973,K2C2O4-2,2.0,1076.3,273,0.6,2.6,0.92,47.39,1.08,6.13,0.0,40.31,5.09,73.97,20.94,2.43,0.64,1.55,0.66,True
274,pineapple,773,K2C2O4-2,2.0,422.8,293,0.6,1.0,0.82,47.39,1.08,6.13,0.0,40.31,5.09,73.97,20.94,2.43,0.64,1.55,0.66,False
275,pineapple,873,Li2C2O4-2,2.0,302.7,293,0.6,0.8,0.49,47.39,1.08,6.13,0.0,40.31,5.09,73.97,20.94,2.43,0.64,1.55,0.66,False
276,pineapple,873,K2C2O4-2,2.0,644.9,293,0.6,1.4,0.91,47.39,1.08,6.13,0.0,40.31,5.09,73.97,20.94,2.43,0.64,1.55,0.66,False
277,pineapple,973,Na2C2O4-2,2.0,397.3,293,0.6,0.7,0.26,47.39,1.08,6.13,0.0,40.31,5.09,73.97,20.94,2.43,0.64,1.55,0.66,False
278,pineapple,973,K2C2O4-2,2.0,1076.3,293,0.6,1.5,0.92,47.39,1.08,6.13,0.0,40.31,5.09,73.97,20.94,2.43,0.64,1.55,0.66,False
279,coconut shell,873,KOH-1,1.0,718.0,273,1.0,4.63,0.28,45.28,0.2,4.05,0.0,50.04,0.43,80.84,18.73,1.29,0.83,1.07,0.83,True
280,coconut shell,873,KOH-2,2.0,1082.0,273,1.0,5.82,0.42,45.28,0.2,4.05,0.0,50.04,0.43,80.84,18.73,1.29,0.83,1.07,0.83,True
281,coconut shell,873,KOH-3,3.0,1172.0,273,1.0,6.04,0.44,45.28,0.2,4.05,0.0,50.04,0.43,80.84,18.73,1.29,0.83,1.07,0.83,True
282,coconut shell,923,KOH-1,1.0,885.0,273,1.0,5.01,0.35,45.28,0.2,4.05,0.0,50.04,0.43,80.84,18.73,1.29,0.83,1.07,0.83,True
283,coconut shell,923,KOH-2,2.0,1211.0,273,1.0,6.2,0.46,45.28,0.2,4.05,0.0,50.04,0.43,80.84,18.73,1.29,0.83,1.07,0.83,True
284,coconut shell,923,KOH-3,3.0,1513.0,273,1.0,4.95,0.58,45.28,0.2,4.05,0.0,50.04,0.43,80.84,18.73,1.29,0.83,1.07,0.83,True
285,coconut shell,973,KOH-1,1.0,878.0,273,1.0,4.98,0.33,45.28,0.2,4.05,0.0,50.04,0.43,80.84,18.73,1.29,0.83,1.07,0.83,True
286,coconut shell,973,KOH-2,2.0,1233.0,273,1.0,5.14,0.46,45.28,0.2,4.05,0.0,50.04,0.43,80.84,18.73,1.29,0.83,1.07,0.83,True
287,coconut shell,973,KOH-3,3.0,1817.0,273,1.0,5.89,0.69,45.28,0.2,4.05,0.0,50.04,0.43,80.84,18.73,1.29,0.83,1.07,0.83,True
288,coconut shell,873,KOH-1,1.0,718.0,293,1.0,3.56,0.28,45.28,0.2,4.05,0.0,50.04,0.43,80.84,18.73,1.29,0.83,1.07,0.83,True
289,coconut shell,873,KOH-2,2.0,1082.0,293,1.0,3.99,0.42,45.28,0.2,4.05,0.0,50.04,0.43,80.84,18.73,1.29,0.83,1.07,0.83,True
290,coconut shell,873,KOH-3,3.0,1172.0,293,1.0,4.23,0.44,45.28,0.2,4.05,0.0,50.04,0.43,80.84,18.73,1.29,0.83,1.07,0.83,True
291,coconut shell,923,KOH-1,1.0,885.0,293,1.0,3.83,0.35,45.28,0.2,4.05,0.0,50.04,0.43,80.84,18.73,1.29,0.83,1.07,0.83,True
292,coconut shell,923,KOH-2,2.0,1211.0,293,1.0,4.13,0.46,45.28,0.2,4.05,0.0,50.04,0.43,80.84,18.73,1.29,0.83,1.07,0.83,True
293,coconut shell,923,KOH-3,3.0,1513.0,293,1.0,3.69,0.58,45.28,0.2,4.05,0.0,50.04,0.43,80.84,18.73,1.29,0.83,1.07,0.83,True
294,coconut shell,973,KOH-1,1.0,878.0,293,1.0,3.83,0.33,45.28,0.2,4.05,0.0,50.04,0.43,80.84,18.73,1.29,0.83,1.07,0.83,True
295,coconut shell,973,KOH-2,2.0,1233.0,293,1.0,3.71,0.46,45.28,0.2,4.05,0.0,50.04,0.43,80.84,18.73,1.29,0.83,1.07,0.83,True
296,coconut shell,973,KOH-3,3.0,1817.0,293,1.0,3.97,0.69,45.28,0.2,4.05,0.0,50.04,0.43,80.84,18.73,1.29,0.83,1.07,0.83,True
297,paulownia sawdust,873,KOH-4,4.0,782.0,273,1.0,7.45,0.414,45.33,0.4,6.22,0.0,46.96,1.09,79.32,19.6,2.12,0.78,1.65,0.78,True
298,paulownia sawdust,973,KOH-4,4.0,1643.0,273,1.0,8.0,0.857,45.33,0.4,6.22,0.0,46.96,1.09,79.32,19.6,2.12,0.78,1.65,0.78,True
299,paulownia sawdust,1073,KOH-4,4.0,1555.0,273,1.0,7.14,0.905,45.33,0.4,6.22,0.0,46.96,1.09,79.32,19.6,2.12,0.78,1.65,0.78,True
300,paulownia sawdust,1173,KOH-4,4.0,1293.0,273,1.0,4.24,0.687,45.33,0.4,6.22,0.0,46.96,1.09,79.32,19.6,2.12,0.78,1.65,0.78,True
301,paulownia sawdust,973,KOH-2,2.0,831.0,273,1.0,6.83,0.449,45.33,0.4,6.22,0.0,46.96,1.09,79.32,19.6,2.12,0.78,1.65,0.78,True
302,paulownia sawdust,973,KOH-6,6.0,2435.0,273,1.0,4.73,1.181,45.33,0.4,6.22,0.0,46.96,1.09,79.32,19.6,2.12,0.78,1.65,0.78,True
