,precursor,pyrolysis T (K),activator_name,activator_ratio,BET (m2/g),T ads (K),P ads (bar),CO2 ads (mmol/g),pore volume (cm3/g),C (%),N (%),H (%),S (%),O (%),ash (%),VM (%),FC (%),H/O (molar),O/C (molar),H/C (molar),(O+N)/C (molar),strat
33,rice husk,983,KOH-1,1.0,1041.0,273,0.2,2.9,0.53,47.8,0.1,5.1,0.0,24.4,22.6,60.7,16.7,3.34,0.38,1.28,0.38,True
34,rice husk,1053,KOH-1,1.0,1199.0,273,0.2,2.81,0.6,47.8,0.1,5.1,0.0,24.4,22.6,60.7,16.7,3.34,0.38,1.28,0.38,True
35,rice husk,1053,KOH-3,3.0,2695.0,273,0.2,2.04,1.14,47.8,0.1,5.1,0.0,24.4,22.6,60.7,16.7,3.34,0.38,1.28,0.38,False
36,rice husk,913,KOH-1,1.0,774.0,273,1.0,4.88,0.41,47.8,0.1,5.1,0.0,24.4,22.6,60.7,16.7,3.34,0.38,1.28,0.38,True
37,rice husk,983,KOH-1,1.0,1041.0,273,1.0,5.63,0.53,47.8,0.1,5.1,0.0,24.4,22.6,60.7,16.7,3.34,0.38,1.28,0.38,True
38,rice husk,1053,KOH-1,1.0,1199.0,273,1.0,6.02,0.6,47.8,0.1,5.1,0.0,24.4,22.6,60.7,16.7,3.34,0.38,1.28,0.38,True
39,rice husk,1053,KOH-3,3.0,2695.0,273,1.0,6.24,1.14,47.8,0.1,5.1,0.0,24.4,22.6,60.7,16.7,3.34,0.38,1.28,0.38,True
40,rice husk,913,KOH-1,1.0,774.0,298,0.1,1.24,0.41,47.8,0.1,5.1,0.0,24.4,22.6,60.7,16.7,3.34,0.38,1.28,0.38,False
41,rice husk,983,KOH-1,1.0,1041.0,298,0.1,1.21,0.53,47.8,0.1,5.1,0.0,24.4,22.6,60.7,16.7,3.34,0.38,1.28,0.38,False
42,rice husk,1053,KOH-1,1.0,1199.0,298,0.1,1.01,0.6,47.8,0.1,5.1,0.0,24.4,22.6,60.7,16.7,3.34,0.38,1.28,0.38,False
43,rice husk,1053,KOH-3,3.0,2695.0,298,0.1,0.69,1.14,47.8,0.1,5.1,0.0,24.4,22.6,60.7,16.7,3.34,0.38,1.28,0.38,False
44,rice husk,913,KOH-1,1.0,774.0,298,0.15,1.51,0.41,47.8,0.1,5.1,0.0,24.4,22.6,60.7,16.7,3.34,0.38,1.28,0.38,False
45,rice husk,983,KOH-1,1.0,1041.0,298,0.15,1.55,0.53,47.8,0.1,5.1,0.0,24.4,22.6,60.7,16.7,3.34,0.38,1.28,0.38,False
46,rice husk,1053,KOH-1,1.0,1199.0,298,0.15,1.28,0.6,47.8,0.1,5.1,0.0,24.4,22.6,60.7,16.7,3.34,0.38,1.28,0.38,False
47,rice husk,1053,KOH-3,3.0,2695.0,298,0.15,0.92,1.14,47.8,0.1,5.1,0.0,24.4,22.6,60.7,16.7,3.34,0.38,1.28,0.38,False
48,rice husk,913,KOH-1,1.0,774.0,298,0.2,1.79,0.41,47.8,0.1,5.1,0.0,24.4,22.6,60.7,16.7,3.34,0.38,1.28,0.38,False
49,rice husk,983,KOH-1,1.0,1041.0,298,0.2,1.83,0.53,47.8,0.1,5.1,0.0,24.4,22.6,60.7,16.7,3.34,0.38,1.28,0.38,False
50,rice husk,1053,KOH-1,1.0,1199.0,298,0.2,1.58,0.6,47.8,0.1,5.1,0.0,24.4,22.6,60.7,16.7,3.34,0.38,1.28,0.38,False
51,rice husk,1053,KOH-3,3.0,2695.0,298,0.2,1.17,1.14,47.8,0.1,5.1,0.0,24.4,22.6,60.7,16.7,3.34,0.38,1.28,0.38,False
52,rice husk,913,KOH-1,1.0,774.0,298,1.0,3.53,0.41,47.8,0.1,5.1,0.0,24.4,22.6,60.7,16.7,3.34,0.38,1.28,0.38,True
53,rice husk,983,KOH-1,1.0,1041.0,298,1.0,4.16,0.53,47.8,0.1,5.1,0.0,24.4,22.6,60.7,16.7,3.34,0.38,1.28,0.38,True
54,rice husk,1053,KOH-1,1.0,1199.0,298,1.0,3.87,1.14,47.8,0.1,5.1,0.0,24.4,22.6,60.7,16.7,3.34,0.38,1.28,0.38,True
55,rice husk,1053,KOH-1,1.0,2695.0,298,1.0,3.71,1.14,47.8,0.1,5.1,0.0,24.4,22.6,60.7,16.7,3.34,0.38,1.28,0.38,True
56,empty fruit bunch,873,KOH-5,5.0,2239.0,273,1.0,0.878,0.88,49.07,0.7,6.48,0.1,38.29,5.36,83.86,10.78,2.71,0.59,1.58,0.6,False
57,empty fruit bunch,1073,KOH-5,5.0,2510.0,273,1.0,5.229,1.05,49.07,0.7,6.48,0.1,38.29,5.36,83.86,10.78,2.71,0.59,1.58,0.6,True
58,empty fruit bunch,873,KOH-5,5.0,2239.0,298,1.0,0.854,0.88,49.07,0.7,6.48,0.1,38.29,5.36,83.86,10.78,2.71,0.59,1.58,0.6,False
59,empty fruit bunch,1073,KOH-5,5.0,2510.0,298,1.0,3.712,1.05,49.07,0.7,6.48,0.1,38.29,5.36,83.86,10.78,2.71,0.59,1.58,0.6,True
60,empty fruit bunch,873,KOH-5,5.0,2239.0,323,1.0,0.3,0.88,49.07,0.7,6.48,0.1,38.29,5.36,83.86,10.78,2.71,0.59,1.58,0.6,False
61,empty fruit bunch,1073,KOH-5,5.0,2510.0,323,1.0,2.343,1.05,49.07,0.7,6.48,0.1,38.29,5.36,83.86,10.78,2.71,0.59,1.58,0.6,False
62,olive stones,1073,CO2,0.0,1215.0,298,1.0,3.1,0.51,51.19,0.2,5.95,0.5,41.37,0.8,85.4,13.8,2.3,0.61,1.4,0.61,True
63,olive stones,1073,CO2,0.0,1215.0,373,1.0,0.8,0.51,51.19,0.2,5.95,0.5,41.37,0.8,85.4,13.8,2.3,0.61,1.4,0.61,False
64,olive stones,1073,CO2,0.0,1215.0,273,0.96,4.7,0.51,51.19,0.2,5.95,0.5,41.37,0.8,85.4,13.8,2.3,0.61,1.4,0.61,True
65,olive stones,1073,CO2,0.0,1215.0,273,0.83,4.4,0.51,51.19,0.2,5.95,0.5,41.37,0.8,85.4,13.8,2.3,0.61,1.4,0.61,True
66,olive stones,1073,CO2,0.0,1215.0,273,0.5,3.45,0.51,51.19,0.2,5.95,0.5,41.37,0.8,85.4,13.8,2.3,0.61,1.4,0.61,True
67,olive stones,1073,CO2,0.0,1215.0,273,0.2,2.2,0.51,51.19,0.2,5.95,0.5,41.37,0.8,85.4,13.8,2.3,0.61,1.4,0.61,False
