BIOMASS,BIOMASS_SR,SA,SBR,HHVbiom (MJ/kg),T (K),SR,He_density (g/cm3),C (%),N (%),H (%),S (%),O (%),ash (%),VM (%),FC (%),H/O (molar),O/C (molar),H/C (molar),(O+N)/C (molar),R_900,Bulk_density (kg/m3),volCO2 (%),volCO (%),volCH4 (%),volH2 (%),volCOMB (%),volSYNG (%),H2_CO,molCO2/mol biom,molCO/mol biom,molCH4/mol biom,molH2/mol biom,molSYNG/mol biom,molCOMB/mol biom,HHV (MJ/m3),CGE (%),Edensity (MJ/kg biom),GAS (m3/kg biom),Na2O (%),MgO (%),Al2O3 (%),SiO2 (%),P2O5 (%),K2O (%),CaO (%),TiO2 (%),Fe2O3 (%),SO3 (%),MnO (%),Si+P,Si+P+Al,Si+P+Al+Ca,Si+Ca,K/Si+P,K/P,K/Si+P+Ca,Na+Mg+K/Al+Si+P+Ca,Mg+Na+K/Si+P+Ca,K+Na+Mg+Ca/Si+P+Al,strat
AS,AS_0.25,2.33,1.68,19.5649,1173,0.25,1.252,49.44,0.31,5.85,0.05,42.9,1.45,78.93,19.62,2.1818,0.5517,8.6963,1.1825,0.0003,655.0,40.236,19.0279,7.525,33.2111,59.764,52.2389,1.7454,1.6286,0.7702,0.3046,1.3442,2.1144,2.419,8.9699,41.5669,8.1325,0.9066,0.76,2.6,17.4,7.01,3.22,36.7,12.3,0.13,1.75,0.69,0.1,10.23,27.63,39.93,19.31,3.5875,11.3975,1.6289,1.0033,1.7781,1.895,False
CHE,CHE_0.25,2.33,1.68,19.1086,1173,0.25,1.268,50.22,0.34,5.55,0.01,43.41,0.47,81.22,18.31,2.0456,0.3404,8.5516,0.4107,0.0003,296.0,35.8767,25.6545,8.8999,29.5689,64.1233,55.2234,1.1526,1.3241,0.9469,0.3285,1.0913,2.0382,2.3667,9.8255,42.5106,8.1232,0.8267,0.555,5.945,3.39,17.55,3.07,7.375,55.345,0.275,2.19,1.84,0.0,20.62,24.01,79.355,72.895,0.3577,2.4023,0.0971,0.1748,0.1826,2.883,False
CHET,CHET_0.25,2.33,1.71,19.588,1173,0.25,1.275,51.3,0.4,5.4,0.02,42.6,0.3,80.0,19.7,2.0282,1.0667,8.52,0.2437,,374.0,37.7504,21.5559,8.1037,32.59,62.2496,54.1459,1.5119,1.6712,0.9543,0.3588,1.4428,2.3971,2.7558,9.4076,47.6267,9.3291,0.9917,0.555,5.945,3.39,17.55,3.07,7.375,55.345,0.275,2.19,1.84,0.0,20.62,24.01,79.355,72.895,0.3577,2.4023,0.0971,0.1748,0.1826,2.883,False
CS,CS_0.25,2.33,1.65,19.0667,1173,0.25,1.156,47.96,2.74,5.93,0.21,35.26,7.9,70.43,21.67,2.6909,0.4253,8.0102,5.8329,0.0028,490.0,40.6573,14.1092,6.7011,38.5324,59.3427,52.6416,2.731,1.7568,0.6097,0.2896,1.665,2.2747,2.5642,8.7187,44.2598,8.4389,0.9679,0.0,8.79,2.05,16.6,16.5,45.09,6.26,0.22,1.16,1.98,0.1,33.1,35.15,41.41,22.86,1.3622,2.7327,1.1456,1.3011,1.3689,1.711,False
GP,GP_0.25,2.33,1.43,18.6815,1173,0.25,1.21,45.5,1.82,5.05,0.17,34.73,12.73,67.59,19.68,2.3265,0.2137,8.2213,10.3496,0.001,772.0,38.8974,18.1009,7.8658,35.1358,61.1026,53.2367,1.9411,1.4557,0.6774,0.2944,1.3149,1.9923,2.2867,9.2158,41.3534,7.7254,0.8383,3.39,3.43,6.48,29.8,4.35,31.91,10.75,0.31,3.03,1.51,0.1,34.15,40.63,51.38,40.55,0.9344,7.3356,0.7107,0.7538,0.8626,1.2178,False
OS,OS_0.25,2.33,1.77,20.5111,1173,0.25,1.241,51.21,0.29,6.01,0.03,41.88,0.58,81.49,17.93,2.2961,0.8276,8.2228,0.5176,0.0005,781.0,25.7682,31.8943,11.1588,31.1787,74.2318,63.073,0.9776,1.6741,2.0722,0.725,2.0257,4.0978,4.8228,11.5869,82.2118,16.8626,1.4553,1.15,2.89,1.1,4.93,4.02,37.93,19.0,0.075,1.57,1.69,0.1,8.95,10.05,29.05,23.93,4.238,9.4353,1.3571,1.4448,1.5016,6.0667,False
PCL,PCL_0.25,2.33,1.86,20.9759,1173,0.25,1.237,52.89,0.44,6.06,0.03,39.46,1.12,76.52,22.36,2.4572,0.4286,8.2509,0.8014,0.0006,407.0,27.3437,29.3744,8.4164,34.8655,72.6563,64.2399,1.1869,1.5716,1.6883,0.4837,2.0039,3.6922,4.176,10.7132,65.7553,13.7927,1.2874,1.7912,8.7639,3.6837,19.7036,6.0416,34.4384,8.2782,0.0506,0.6173,0.03,0.2,25.7453,29.429,37.7071,27.9818,1.3377,5.7002,1.0122,1.1932,1.3224,1.8102,False
PIN,PIN_0.25,2.33,1.19,19.904,1173,0.25,1.241,51.0,0.3,6.0,0.02,42.3,0.4,85.1,14.5,2.2695,0.8,7.953,0.4414,,226.0,21.9885,35.8142,9.9304,32.2669,78.0115,68.0811,0.901,1.2967,2.112,0.5856,1.9028,4.0148,4.6004,11.7223,77.7955,15.4844,1.3209,1.7912,8.7639,3.6837,19.7036,6.0416,34.4384,8.2782,0.0506,0.6173,0.03,0.0,25.7453,29.429,37.7071,27.9818,1.3377,5.7002,1.0122,1.1932,1.3224,1.8102,True
PINT,PINT_0.25,2.33,1.89,21.568,1173,0.25,1.257,54.5,0.4,5.7,0.02,39.0,0.4,78.6,21.0,2.3385,0.8,7.9389,0.3048,0.0008,265.0,24.0813,32.721,8.8406,34.3571,75.9187,67.0781,1.05,1.7044,2.3159,0.6257,2.4317,4.7477,5.3734,11.2034,82.355,17.7623,1.5854,1.15,11.05,2.985,19.65,3.69,16.25,36.69,0.205,3.175,2.935,0.0,23.34,26.325,63.015,56.34,0.6962,4.4038,0.2707,0.4515,0.4739,2.4745,False
PKS,PKS_0.25,2.33,1.39,20.7665,1173,0.25,1.221,52.32,0.62,6.21,0.05,38.99,1.81,78.41,19.78,2.5483,0.442,7.9561,1.4641,0.0001,784.0,23.5999,33.8791,9.0599,33.4611,76.4001,67.3402,0.9877,1.5466,2.2203,0.5937,2.1929,4.4131,5.0069,11.3144,79.9812,16.6093,1.468,1.386,5.4846,0.8019,66.3795,1.9008,18.3249,3.4848,0.0099,0.5346,0.05,0.1,68.2803,69.0822,72.567,69.8643,0.2684,9.6406,0.2553,0.3472,0.3511,0.4152,True
