precursor,pyrolysis T (K),activator_name,activator_ratio,BET (m2/g),T ads (K),P ads (bar),CO2 ads (mmol/g),pore volume (cm3/g),C (%),N (%),H (%),S (%),O (%),ash (%),VM (%),FC (%),H/O (molar),O/C (molar),H/C (molar),(O+N)/C (molar)
rice husk,1053,KOH-1,1,1199,273,1,6.02,0.6,47.8,0.1,5.1,0,24.4,22.6,60.7,16.7,3.34,0.38,1.28,0.38
rice husk,1053,KOH-3,3,2695,273,1,6.24,1.14,47.8,0.1,5.1,0,24.4,22.6,60.7,16.7,3.34,0.38,1.28,0.38
rice husk,913,KOH-1,1,774,298,0.1,1.24,0.41,47.8,0.1,5.1,0,24.4,22.6,60.7,16.7,3.34,0.38,1.28,0.38
rice husk,983,KOH-1,1,1041,298,0.1,1.21,0.53,47.8,0.1,5.1,0,24.4,22.6,60.7,16.7,3.34,0.38,1.28,0.38
rice husk,1053,KOH-1,1,1199,298,0.1,1.01,0.6,47.8,0.1,5.1,0,24.4,22.6,60.7,16.7,3.34,0.38,1.28,0.38
rice husk,1053,KOH-3,3,2695,298,0.1,0.69,1.14,47.8,0.1,5.1,0,24.4,22.6,60.7,16.7,3.34,0.38,1.28,0.38
rice husk,913,KOH-1,1,774,298,0.15,1.51,0.41,47.8,0.1,5.1,0,24.4,22.6,60.7,16.7,3.34,0.38,1.28,0.38
rice husk,983,KOH-1,1,1041,298,0.15,1.55,0.53,47.8,0.1,5.1,0,24.4,22.6,60.7,16.7,3.34,0.38,1.28,0.38
rice husk,1053,KOH-1,1,1199,298,0.15,1.28,0.6,47.8,0.1,5.1,0,24.4,22.6,60.7,16.7,3.34,0.38,1.28,0.38
rice husk,1053,KOH-3,3,2695,298,0.15,0.92,1.14,47.8,0.1,5.1,0,24.4,22.6,60.7,16.7,3.34,0.38,1.28,0.38
rice husk,913,KOH-1,1,774,298,0.2,1.79,0.41,47.8,0.1,5.1,0,24.4,22.6,60.7,16.7,3.34,0.38,1.28,0.38
rice husk,983,KOH-1,1,1041,298,0.2,1.83,0.53,47.8,0.1,5.1,0,24.4,22.6,60.7,16.7,3.34,0.38,1.28,0.38
rice husk,1053,KOH-1,1,1199,298,0.2,1.58,0.6,47.8,0.1,5.1,0,24.4,22.6,60.7,16.7,3.34,0.38,1.28,0.38
rice husk,1053,KOH-3,3,2695,298,0.2,1.17,1.14,47.8,0.1,5.1,0,24.4,22.6,60.7,16.7,3.34,0.38,1.28,0.38
